id,name,temperament,weight,height,life_span,bred_for,image
140,Schipperke,"Fearless, Agile, Curious, Independent, Confident, Faithful",5 - 7,25 - 33,13 - 15,Barge watchdog,https://cdn2.thedogapi.com/images/SyBvVgc47.jpg
141,Scottish Deerhound,"Docile, Friendly, Dignified, Gentle",32 - 59,71 - 81,8 - 10,Coursing deer,https://cdn2.thedogapi.com/images/SkNjqx9NQ.jpg
142,Scottish Terrier,"Feisty, Alert, Independent, Playful, Quick, Self-assured",8 - 10,25,11 - 13,Vermin hunting,https://cdn2.thedogapi.com/images/Bklnce5NX.jpg
143,Shetland Sheepdog,"Affectionate, Lively, Responsive, Alert, Loyal, Reserved, Playful, Gentle, Intelligent, Active, Trainable, Strong",14,33 - 41,12 - 14,Sheep herding,https://cdn2.thedogapi.com/images/rJa29l9E7.jpg
144,Shiba Inu,"Charming, Fearless, Keen, Alert, Confident, Faithful",8 - 10,34 - 42,12 - 16,"Hunting in the mountains of Japan, Alert Watchdog",https://cdn2.thedogapi.com/images/Zn3IjPX3f.jpg
145,Shih Tzu,"Clever, Spunky, Outgoing, Friendly, Affectionate, Lively, Alert, Loyal, Independent, Playful, Gentle, Intelligent, Happy, Active, Courageous",4 - 7,20 - 28,10 - 18,Lapdog,https://cdn2.thedogapi.com/images/BkrJjgcV7.jpg
146,Shiloh Shepherd,"Outgoing, Loyal, Companionable, Gentle, Loving, Trainable",54 - 64,66 - 76,9 – 14,"Swimming, Carrying backpacks, Pulling carts or sleds",https://cdn2.thedogapi.com/images/SJJxjecEX.jpg
147,Siberian Husky,"Outgoing, Friendly, Alert, Gentle, Intelligent",16 - 27,51 - 60,12,Sled pulling,https://cdn2.thedogapi.com/images/S17ZilqNm.jpg
148,Silky Terrier,"Friendly, Responsive, Inquisitive, Alert, Quick, Joyful",4 - 5,23 - 25,12 - 15,"Small vermin hunting, companionship",https://cdn2.thedogapi.com/images/ByzGsl5Nm.jpg
149,Smooth Fox Terrier,"Fearless, Affectionate, Alert, Playful, Intelligent, Active",NaN - 8,39,12 - 14,Fox bolting,https://cdn2.thedogapi.com/images/Syszjx9Em.jpg
150,Soft Coated Wheaten Terrier,"Affectionate, Spirited, Energetic, Playful, Intelligent, Faithful",14 - 18,41 - 46,12 - 15,"Vermin hunting, guarding, all-around farm helper",https://cdn2.thedogapi.com/images/HJHmix5NQ.jpg
151,Spanish Water Dog,"Trainable, Diligent, Affectionate, Loyal, Athletic, Intelligent",14 - 23,41 - 51,12 - 15,Herding flocks of sheep and goats from one pasture to another,https://cdn2.thedogapi.com/images/HJf4jl9VX.jpg
152,Spinone Italiano,"Docile, Friendly, Affectionate, Loyal, Patient, Gentle",28 - 39,57 - 70,10 - 12,,https://cdn2.thedogapi.com/images/rk5Eoe5Nm.jpg
153,Staffordshire Bull Terrier,"Reliable, Fearless, Bold, Affectionate, Loyal, Intelligent, Courageous",11 - 17,36 - 41,12 - 14,,https://cdn2.thedogapi.com/images/H1zSie9V7.jpg
154,Standard Schnauzer,"Trainable, Good-natured, Devoted, Lively, Playful, Intelligent",14 - 23,44 - 50,13 - 15,"Ratting, guarding",https://cdn2.thedogapi.com/images/tmzeu6ID_.jpg
155,Swedish Vallhund,"Fearless, Friendly, Energetic, Alert, Intelligent, Watchful",9 - 14,29 - 34,12 - 14,,https://cdn2.thedogapi.com/images/HJ-Dix94Q.jpg
156,Thai Ridgeback,"Protective, Loyal, Independent, Intelligent, Loving, Familial",16 - 25,51 - 61,10 - 12,,https://cdn2.thedogapi.com/images/zv89hR-O8.jpg
157,Tibetan Mastiff,"Strong Willed, Tenacious, Aloof, Stubborn, Intelligent, Protective",39 - 64,61 - 66,10 - 14,,https://cdn2.thedogapi.com/images/SkM9sec47.jpg
158,Tibetan Spaniel,"Willful, Aloof, Assertive, Independent, Playful, Intelligent, Happy",4 - 7,25,12 - 15,,https://cdn2.thedogapi.com/images/Hyjcol947.jpg
159,Tibetan Terrier,"Affectionate, Energetic, Amiable, Reserved, Gentle, Sensitive",9 - 11,36 - 43,12 - 15,"Good luck charms, mascots, watchdogs, herding dogs, and companions",https://cdn2.thedogapi.com/images/6f5n_42mB.jpg
160,Toy Fox Terrier,"Friendly, Spirited, Alert, Loyal, Playful, Intelligent",2 - 4,20 - 28,12 - 15,,https://cdn2.thedogapi.com/images/B17ase9V7.jpg
161,Treeing Walker Coonhound,"Clever, Affectionate, Confident, Intelligent, Loving, Trainable",20 - 36,51 - 69,10 - 13,,https://cdn2.thedogapi.com/images/SkRpsgc47.jpg
162,Vizsla,"Affectionate, Energetic, Loyal, Gentle, Quiet",23 - 29,53 - 61,10 - 14,Pointing and trailing,https://cdn2.thedogapi.com/images/r1o0jx9Em.jpg
163,Weimaraner,"Steady, Aloof, Stubborn, Energetic, Alert, Intelligent, Powerful, Fast",25 - 41,58 - 69,12 - 15,Large game trailing and versatile gundog,https://cdn2.thedogapi.com/images/SyU12l9V7.jpg
164,Welsh Springer Spaniel,"Stubborn, Friendly, Affectionate, Loyal, Playful, Active",16 - 25,43 - 48,12 - 15,Flushing and retrieving birds,https://cdn2.thedogapi.com/images/BJ1gnx5Vm.jpg
165,West Highland White Terrier,"Hardy, Friendly, Alert, Independent, Gay, Active, Courageous",7 - 10,25 - 28,15 - 20,"Fox, badger, vermin hunting",https://cdn2.thedogapi.com/images/Bkdx2g5Em.jpg
166,Whippet,"Friendly, Affectionate, Lively, Gentle, Intelligent, Quiet",11 - 16,46 - 56,12 - 15,"Coursing, racing",https://cdn2.thedogapi.com/images/Hyv-ne94m.jpg
167,White Shepherd,"Self-confidence, Aloof, Fearless, Alert, Companionable, Eager",27 - 39,56 - 64,12 – 14,,https://cdn2.thedogapi.com/images/r14M3e9E7.jpg
168,Wire Fox Terrier,"Fearless, Friendly, Bold, Keen, Alert, Quick",7 - 9,33 - 41,13 – 14,"Vermin hunting, fox bolting",https://cdn2.thedogapi.com/images/SJ6f2g9EQ.jpg
169,Wirehaired Pointing Griffon,"Loyal, Gentle, Vigilant, Trainable, Proud",20 - 32,51 - 61,12 - 14,"Gundog, ""swamp-tromping"", Flushing, pointing, and retrieving water fowl & game birds",https://cdn2.thedogapi.com/images/Bkam2l9Vm.jpg
170,Wirehaired Vizsla,,20 - 29,55 - 64,12 - 14,,https://cdn2.thedogapi.com/images/r1I4hl5Em.jpg
171,Xoloitzcuintli,"Cheerful, Alert, Companionable, Intelligent, Protective, Calm",4 - 14,25 - 58,12 - 14,,https://cdn2.thedogapi.com/images/HkNS3gqEm.jpg
172,Yorkshire Terrier,"Bold, Independent, Confident, Intelligent, Courageous",2 - 3,20 - 23,12 - 16,Small vermin hunting,https://cdn2.thedogapi.com/images/B12BnxcVQ.jpg
